center_hz,width_hz,sample_pos,level_db,time_sec
-2441.4375,2290039.0,56016896,-73.14353942871094,5.6016896
-4882.875,2285156.25,56025088,-73.04268646240234,5.6025088
0.0,2294922.0,56033280,-72.12338256835938,5.603328
0.0,2285156.25,56041472,-72.13321685791016,5.6041472
0.0,2294922.0,56049664,-73.15553283691406,5.6049664
2441.375,2299804.75,56057856,-71.96549987792969,5.6057856
0.0,2285156.25,56066048,-72.28031158447266,5.6066048
2441.4375,2290039.0,56074240,-73.27456665039062,5.607424
4882.8125,2294922.0,56082432,-73.35044860839844,5.6082432
-2441.4375,2280273.5,56090624,-72.93653106689453,5.6090624
0.0,2294922.0,56098816,-72.53752136230469,5.6098816
-2441.4375,2290039.0,56107008,-73.0577392578125,5.6107008
-2441.4375,2280273.5,56115200,-72.9379653930664,5.61152
0.0,2275390.5,56123392,-73.04647064208984,5.6123392
4882.8125,2294922.0,56131584,-71.68081665039062,5.6131584
-2441.4375,2290039.0,56139776,-72.46583557128906,5.6139776
0.0,2285156.25,56147968,-73.41927337646484,5.6147968
-4882.875,2285156.25,56156160,-71.64087677001953,5.615616
0.0,2275390.5,56164352,-72.7271728515625,5.6164352
2441.4375,2290039.0,56172544,-73.40513610839844,5.6172544
-2441.375,2299804.75,56180736,-75.5926742553711,5.6180736
0.0,2285156.25,56197120,-75.54983520507812,5.619712
-2441.4375,2280273.5,56205312,-74.67577362060547,5.6205312
0.0,2294922.0,56238080,-74.49498748779297,5.623808
-2441.375,2299804.75,56246272,-71.91146087646484,5.6246272
7324.25,2290039.0,56254464,-73.07623291015625,5.6254464
-4882.8125,2275390.5,56262656,-73.11812591552734,5.6262656
0.0,2285156.25,56270848,-73.12952423095703,5.6270848
2441.4375,2280273.5,56279040,-73.07889556884766,5.627904
-2441.375,2299804.75,56287232,-72.02595520019531,5.6287232
-4882.8125,2294922.0,56295424,-73.99613189697266,5.6295424
-2441.4375,2290039.0,56303616,-72.94976043701172,5.6303616
0.0,2285156.25,56311808,-71.72457885742188,5.6311808
0.0,2275390.5,56320000,-72.43875885009766,5.632
